name,code,barcode_symbology,brand,category_code,unit,sale_unit,purchase_unit,cost,price,alert_quantity,tax_rate,tax_method,image,subcategory_code,variants,mrp,hsn_code,warehouse,quantity
SMK Twister Cartoon Green Yellow Full Face Helmet GL241,,code128,,HA1,pcs,pcs,pcs,0,4300,,18%GST,Inclusive,,,,4300,,Ware house 1-1,0
SMK Twister Logo Green Full Face Helmet MA281,,code128,,HA1,pcs,pcs,pcs,0,4300,,18%GST,Inclusive,,,,4300,,Ware house 1-1,0
SMK Twister Logo Yellow Full Face Helmet MA241,,code128,,HA1,pcs,pcs,pcs,0,4300,,18%GST,Inclusive,,,,4300,,Ware house 1-1,0
SMK Twister Logo White Red Full Face Helmet GL132,,code128,,HA1,pcs,pcs,pcs,0,4300,,18%GST,Inclusive,,,,4300,,Ware house 1-1,0
SMK Twister Logo Blue Full Face Helmet MA251,,code128,,HA1,pcs,pcs,pcs,0,4300,,18%GST,Inclusive,,,,4300,,Ware house 1-1,0
SMK Twister Logo Black White Full Face Helmet MA261,,code128,,HA1,pcs,pcs,pcs,0,4300,,18%GST,Inclusive,,,,4300,,Ware house 1-1,0
SMK Twister Logo Orange Full Face Helmet MA271,,code128,,HA1,pcs,pcs,pcs,0,4300,,18%GST,Inclusive,,,,4300,,Ware house 1-1,0
SMK Twister Unicolour White Full Face Helmet GL100,,code128,,HA1,pcs,pcs,pcs,0,4000,,18%GST,Inclusive,,,,4000,,Ware house 1-1,0
SMK Twister Unicolour Anthracite Full Face Helmet GLDA600,,code128,,HA1,pcs,pcs,pcs,0,4000,,18%GST,Inclusive,,,,4000,,Ware house 1-1,0
SMK Twister Unicolour Matt Black Full Face Helmet MA200,,code128,,HA1,pcs,pcs,pcs,0,4000,,18%GST,Inclusive,,,,4000,,Ware house 1-1,0
SMK Twister Unicolour Black Full Face Helmet GL200,,code128,,HA1,pcs,pcs,pcs,0,4000,,18%GST,Inclusive,,,,4000,,Ware house 1-1,0
SMK Twister Unicolour Hi Vision Full Face Helmet HV400,,code128,,HA1,pcs,pcs,pcs,0,4000,,18%GST,Inclusive,,,,4000,,Ware house 1-1,0
SMK Stellar Swank Fluoroscent Yellow MA423,,code128,,HA1,pcs,pcs,pcs,0,3800,,18%GST,Inclusive,,,,3800,,Ware house 1-1,0
